/Vy X,/Vy Y
9.999999999999999e-12,0.04297879494818215
1.018e-11,0.0429948242545011
1.036e-11,0.04301064689374785
1.054e-11,0.04302627081660412
1.072e-11,0.04304170341297946
1.09e-11,0.04305695163065269
1.108e-11,0.04307202201058651
1.126e-11,0.04308692072038033
1.144e-11,0.0431016535813111
1.162e-11,0.04311622609585099
1.18e-11,0.04313064347119912
1.198e-11,0.04314491064050474
1.216e-11,0.04315903228263474
1.233999999999999e-11,0.04317301283999754
1.251999999999999e-11,0.04318685653477275
1.269999999999999e-11,0.04320056738381305
1.287999999999999e-11,0.04321414921244809
1.305999999999999e-11,0.0432276056663239
1.323999999999999e-11,0.04324094022400363
1.341999999999999e-11,0.04325415620631296
1.359999999999999e-11,0.04326725678669393
1.377999999999999e-11,0.04328024500047353
1.395999999999999e-11,0.04329312375213033
1.413999999999999e-11,0.04330589582397543
1.431999999999999e-11,0.04331856388274386
1.449999999999999e-11,0.043331130486396
1.467999999999999e-11,0.04334359808985115
1.485999999999999e-11,0.04335596905108521
1.503999999999999e-11,0.04336824563589522
1.521999999999999e-11,0.04338043002374273
1.539999999999999e-11,0.04339252431129748
1.557999999999999e-11,0.04340453051723869
1.575999999999999e-11,0.04341645058615024
1.593999999999999e-11,0.04342828639265787
1.611999999999999e-11,0.04344003974407569
1.629999999999999e-11,0.04345171238440586
1.647999999999999e-11,0.0434633059974399
1.665999999999999e-11,0.04347482220867555
1.683999999999999e-11,0.0434862625897247
1.701999999999999e-11,0.043497628658977
1.719999999999999e-11,0.04350892188556289
1.737999999999999e-11,0.04352014369071425
1.755999999999999e-11,0.043531295450197
1.773999999999999e-11,0.04354237849615864
1.791999999999999e-11,0.04355339411953742
1.809999999999998e-11,0.04356434357107212
1.827999999999998e-11,0.04357522806346732
1.845999999999998e-11,0.04358604877307402
1.863999999999998e-11,0.0435968068412581
1.881999999999998e-11,0.04360750337566605
1.899999999999998e-11,0.04361813945191027
1.917999999999998e-11,0.04362871611462878
1.935999999999998e-11,0.0436392343789964
1.953999999999998e-11,0.04364969523128246
