/Vx X,/Vx Y
9.999999999999999e-12,0.03920744613720285
1.018e-11,0.03939959305291542
1.036e-11,0.03959026073108106
1.054e-11,0.03977948354179522
1.072e-11,0.0399672949928432
1.09e-11,0.04015372729132573
1.108e-11,0.04033881141502128
1.126e-11,0.04052257717865497
1.144e-11,0.04070505329552868
1.162e-11,0.0408862674350543
1.18e-11,0.04106624627623253
1.198e-11,0.04124501555787725
1.216e-11,0.04142260012532268
1.233999999999999e-11,0.04159902397411956
1.251999999999999e-11,0.04177431029124581
1.269999999999999e-11,0.04194848149348527
1.287999999999999e-11,0.04212155926347809
1.305999999999999e-11,0.04229356458379616
1.323999999999999e-11,0.04246451776866812
1.341999999999999e-11,0.04263443849418373
1.359999999999999e-11,0.04280334582645395
1.377999999999999e-11,0.04297125824829837
1.395999999999999e-11,0.04313819368446634
1.413999999999999e-11,0.0433041695253228
1.431999999999999e-11,0.04346920264934775
1.449999999999999e-11,0.04363330944436748
1.467999999999999e-11,0.04379650582761427
1.485999999999999e-11,0.04395880726481251
1.503999999999999e-11,0.0441202287881761
1.521999999999999e-11,0.04428078501353678
1.539999999999999e-11,0.0444404901565757
1.557999999999999e-11,0.04459935804824027
1.575999999999999e-11,0.04475740214940799
1.593999999999999e-11,0.04491463556478261
1.611999999999999e-11,0.04507107105614849
1.629999999999999e-11,0.04522672105503957
1.647999999999999e-11,0.04538159767469123
1.665999999999999e-11,0.0455357127215172
1.683999999999999e-11,0.04568907770603403
1.701999999999999e-11,0.04584170385325463
1.719999999999999e-11,0.04599360211263246
1.737999999999999e-11,0.04614478316761689
1.755999999999999e-11,0.04629525744460628
1.773999999999999e-11,0.04644503512172835
1.791999999999999e-11,0.0465941261370805
1.809999999999998e-11,0.04674254019669297
1.827999999999998e-11,0.04689028678210028
1.845999999999998e-11,0.0470373751576235
1.863999999999998e-11,0.04718381437735655
1.881999999999998e-11,0.04732961329183535
1.899999999999998e-11,0.0474747805544635
1.917999999999998e-11,0.04761932462760894
1.935999999999998e-11,0.04776325378857679
1.953999999999998e-11,0.047906576135218
1.971999999999998e-11,0.04804929959139604
1.989999999999998e-11,0.04819143191220036
2.007999999999998e-11,0.04833298068899142
2.025999999999998e-11,0.04847395335420458
2.043999999999998e-11,0.04861435718602666
2.061999999999998e-11,0.04875419931284437
2.079999999999998e-11,0.0488934867175676
2.097999999999998e-11,0.04903222624175187
2.115999999999998e-11,0.04917042458962832
2.133999999999998e-11,0.04930808833191834
2.151999999999998e-11,0.04944522390955373
2.169999999999998e-11,0.049581837637246
2.187999999999998e-11,0.04971793570693942
2.205999999999998e-11,0.04985352419116328
2.223999999999998e-11,0.04998860904618051
2.241999999999998e-11,0.05012319611515825
2.259999999999998e-11,0.05025729113111493
2.277999999999998e-11,0.0503908997198076
2.295999999999997e-11,0.05052402740257714
2.313999999999997e-11,0.0506566795989848
2.331999999999997e-11,0.05078886162945612
2.349999999999997e-11,0.05092057871779996
2.367999999999997e-11,0.05105183599364888
2.385999999999997e-11,0.05118263849480852
2.403999999999997e-11,0.05131299116956484
2.421999999999997e-11,0.05144289887886967
2.439999999999997e-11,0.05157236639850354
2.457999999999997e-11,0.0517013984211421
2.475999999999997e-11,0.0518299995583608
2.493999999999997e-11,0.0519581743425929
2.511999999999997e-11,0.05208592722899693
2.529999999999997e-11,0.05221326259730463
2.547999999999997e-11,0.05234018475357827
2.565999999999997e-11,0.05246669793193875
2.583999999999997e-11,0.05259280629623836
2.601999999999997e-11,0.05271851394166007
2.619999999999997e-11,0.05284382489630859
2.637999999999997e-11,0.05296874312272009
2.655999999999997e-11,0.05309327251934613
2.673999999999997e-11,0.05321741692199734
2.691999999999997e-11,0.05334118010521944
2.709999999999997e-11,0.05346456578366068
2.727999999999997e-11,0.05358757761340872
2.745999999999997e-11,0.05371021919322048
2.763999999999997e-11,0.05383249406582002
2.781999999999997e-11,0.05395440571906159
2.799999999999996e-11,0.05407595758714365
2.817999999999996e-11,0.0541971530517249
2.835999999999996e-11,0.05431799544304829
2.853999999999996e-11,0.05443848804101828
2.871999999999996e-11,0.0545586340762541
2.889999999999996e-11,0.0546784367311168
2.907999999999996e-11,0.05479789914070864
2.925999999999997e-11,0.05491702439382981
2.943999999999997e-11,0.05503581553394273
2.961999999999996e-11,0.05515427556007523
2.979999999999996e-11,0.05527240742773119
2.997999999999996e-11,0.05539021404974655
3.015999999999996e-11,0.05550769829715849
3.033999999999996e-11,0.05562486300002661
3.051999999999996e-11,0.05574171094822859
3.069999999999996e-11,0.05585824489227662
3.087999999999996e-11,0.0559744675440544
3.105999999999996e-11,0.05609038157757887
3.123999999999996e-11,0.05620598962973924
3.141999999999996e-11,0.05632129430098859
3.159999999999996e-11,0.05643629815606151
3.177999999999996e-11,0.05655100372462952
3.195999999999996e-11,0.0566654135019745
3.213999999999996e-11,0.05677952994963296
3.231999999999996e-11,0.05689335549602422
3.249999999999996e-11,0.057006892537066
3.267999999999996e-11,0.05712014343676311
3.285999999999996e-11,0.05723311052781859
3.303999999999996e-11,0.05734579611218114
3.321999999999996e-11,0.05745820246161126
3.339999999999996e-11,0.05757033181823597
3.357999999999996e-11,0.0576821863950685
3.375999999999996e-11,0.05779376837653591
3.393999999999996e-11,0.05790507991898897
3.411999999999996e-11,0.05801612315119921
3.429999999999996e-11,0.0581269001748418
3.447999999999995e-11,0.05823741306496717
3.465999999999995e-11,0.05834766387047941
3.483999999999995e-11,0.05845765461457631
3.501999999999995e-11,0.05856738729519897
3.519999999999995e-11,0.05867686388547019
