/I34/D (Vout=0.92) X,/I34/D (Vout=0.92) Y
0,2.288208759258328e-13
0.0036,2.289016459456982e-13
0.0072,2.289843893402087e-13
0.0108,2.290625715192813e-13
0.0144,2.291365280546089e-13
0.018,2.292065664892779e-13
0.0216,2.292729690298928e-13
0.0252,2.293359959648583e-13
0.0288,2.293958900135607e-13
0.0324,2.29452881975121e-13
0.036,2.295071980501454e-13
0.0396,2.295590690711666e-13
0.0432,2.296087414122948e-13
0.04679999999999999,2.296564884138668e-13
0.05039999999999999,2.297026198695424e-13
0.05399999999999999,2.297474864545378e-13
0.05759999999999999,2.297914761391398e-13
0.06119999999999999,2.298350023566412e-13
0.0648,2.298784870232271e-13
0.0684,2.299223434557146e-13
0.07200000000000001,2.299669641300901e-13
0.07560000000000001,2.300127160529318e-13
0.07920000000000002,2.300599421021569e-13
0.08280000000000003,2.301089665331611e-13
0.08640000000000003,2.30160101828136e-13
0.09000000000000004,2.302136588134854e-13
0.09360000000000004,2.302699542920132e-13
0.09720000000000005,2.303293175780608e-13
0.1008000000000001,2.303920963336542e-13
0.1044000000000001,2.304586612130973e-13
0.1080000000000001,2.305294092469559e-13
0.1116000000000001,2.306047658115162e-13
0.1152000000000001,2.306851852827483e-13
0.1188000000000001,2.30771149974967e-13
0.1224000000000001,2.308631666846644e-13
0.1260000000000001,2.309617615663096e-13
0.1296000000000001,2.310674731438684e-13
0.1332000000000001,2.311808437818446e-13
0.1368000000000001,2.313024119406585e-13
0.1404000000000001,2.314327026035795e-13
0.144,2.315722215880725e-13
0.1476,2.317214508709716e-13
0.1512,2.318808471426078e-13
0.1548,2.320508432221446e-13
0.1584,2.322318524452275e-13
0.162,2.324242697121072e-13
0.1656,2.326284871299708e-13
0.1692,2.328448919007095e-13
0.1728,2.330738777979458e-13
0.1764,2.333158507860772e-13
0.18,2.335712347727471e-13
0.1836,2.338404766262857e-13
0.1871999999999999,2.341240504381284e-13
0.1907999999999999,2.344224611467193e-13
0.1943999999999999,2.347362479395927e-13
0.1979999999999999,2.350659875120389e-13
0.2015999999999999,2.354122968132213e-13
0.2051999999999999,2.357758359352979e-13
0.2087999999999999,2.361573112018602e-13
0.2123999999999999,2.365574783959364e-13
0.2159999999999999,2.369771462360192e-13
0.2195999999999999,2.374171799767665e-13
0.2231999999999999,2.378785052384424e-13
0.2267999999999999,2.38362111950989e-13
0.2303999999999999,2.388690585507328e-13
0.2339999999999998,2.394004762550208e-13
0.2375999999999998,2.399575735054181e-13
0.2411999999999998,2.405416406296939e-13
0.2447999999999998,2.411540544906762e-13
0.2483999999999998,2.417962834146499e-13
0.2519999999999998,2.424698921918136e-13
0.2555999999999998,2.431765471329604e-13
0.2591999999999998,2.439180212904359e-13
0.2627999999999998,2.446961997265774e-13
0.2663999999999998,2.455130849367317e-13
0.2699999999999998,2.463708055908451e-13
0.2735999999999998,2.4727161878121e-13
0.2771999999999998,2.482179135299954e-13
0.2807999999999998,2.492122182429512e-13
0.2843999999999998,2.502572060523164e-13
0.2879999999999998,2.513556999752752e-13
0.2915999999999997,2.525106778269797e-13
0.2951999999999997,2.53725276382029e-13
0.2987999999999997,2.5500279706613e-13
0.3023999999999997,2.56346700687881e-13
0.3059999999999997,2.577605905461892e-13
0.3095999999999997,2.592482527982189e-13
0.3131999999999997,2.608136315340515e-13
0.3167999999999997,2.624608199257674e-13
0.3203999999999997,2.641940496009503e-13
0.3239999999999997,2.660176764070337e-13
0.3275999999999997,2.679361437271041e-13
0.3311999999999997,2.699540021552552e-13
0.3347999999999997,2.720759142600056e-13
0.3383999999999996,2.743066585134066e-13
0.3419999999999996,2.766511228929042e-13
0.3455999999999996,2.791143316970901e-13
0.3491999999999996,2.817014789131829e-13
0.3527999999999996,2.844179615504831e-13
0.3563999999999996,2.872694530720729e-13
0.3599999999999996,2.902618760707013e-13
0.3635999999999996,2.934014014161531e-13
0.3671999999999996,2.966945682416706e-13
0.3707999999999996,3.001482837142969e-13
0.3743999999999996,3.037698561514853e-13
0.3779999999999996,3.075670310368575e-13
0.3815999999999996,3.115480270582644e-13
0.3851999999999995,3.157215717765551e-13
0.3887999999999995,3.200969356934734e-13
0.3923999999999995,3.246839647806193e-13
0.3959999999999995,3.294931111978866e-13
0.3995999999999995,3.345354622359358e-13
0.4031999999999995,3.398227678579404e-13
0.4067999999999995,3.453674671101952e-13
0.4103999999999995,3.51182712875509e-13
0.4139999999999995,3.572823955583055e-13
0.4175999999999995,3.636811642404403e-13
0.4211999999999995,3.703944455296989e-13
0.4247999999999995,3.77438457761593e-13
0.4283999999999994,3.848302199449336e-13
0.4319999999999994,3.925875524160519e-13
0.4355999999999994,4.007290673406461e-13
0.4391999999999994,4.092741454062327e-13
0.4427999999999994,4.182428944049208e-13
0.4463999999999994,4.276560855396125e-13
0.4499999999999994,4.375350620130734e-13
0.4535999999999994,4.479016129956101e-13
0.4571999999999994,4.587778062509397e-13
0.4607999999999994,4.701857721049558e-13
0.4643999999999994,4.821474307628947e-13
0.4679999999999994,4.946841549627077e-13
0.4715999999999994,5.078163615977384e-13
0.4751999999999993,5.215630257129369e-13
0.4787999999999993,5.35941114061653e-13
0.4823999999999993,5.5096493541605e-13
0.4859999999999993,5.666454096701861e-13
0.4895999999999993,5.829892573712914e-13
0.4931999999999993,5.999981143793632e-13
0.4967999999999993,6.17667574292076e-13
0.5003999999999993,6.359861600233186e-13
0.5039999999999993,6.549342474710425e-13
0.5075999999999994,6.7448306868204e-13
0.5111999999999994,6.945930788036863e-13
0.5147999999999995,7.152127202603752e-13
