/I34/D X,/I34/D Y
0,0
0.0036,2.192400527286914e-14
0.0072,4.220340142683423e-14
0.0108,6.085655658427169e-14
0.0144,7.793165795648763e-14
0.018,9.349663134266151e-14
0.0216,1.076321456892895e-13
0.0252,1.204260054960238e-13
0.0288,1.319688266557867e-13
0.0324,1.423508116331375e-13
0.036,1.516594352433104e-13
0.0396,1.599778575067383e-13
0.0432,1.673839198954739e-13
0.04679999999999999,1.739496083871263e-13
0.05039999999999999,1.797409171269399e-13
0.05399999999999999,1.848180804648222e-13
0.05759999999999999,1.892361841952503e-13
0.06119999999999999,1.930461973715367e-13
0.0648,1.962964491641671e-13
0.0684,1.990344776909669e-13
0.07200000000000001,2.013089781007032e-13
0.07560000000000001,2.031712808434236e-13
0.07920000000000002,2.046756615597637e-13
0.08280000000000003,2.058780320758872e-13
0.08640000000000003,2.068332612545069e-13
0.09000000000000004,2.075920866939894e-13
0.09360000000000004,2.081987112270678e-13
0.09720000000000005,2.086896881881212e-13
0.1008000000000001,2.090940407046091e-13
0.1044000000000001,2.094341701915364e-13
0.1080000000000001,2.097270787239764e-13
0.1116000000000001,2.099855784627473e-13
0.1152000000000001,2.10219330567333e-13
0.1188000000000001,2.104356684400555e-13
0.1224000000000001,2.106402198851663e-13
0.1260000000000001,2.108373642752079e-13
0.1296000000000001,2.110305624747695e-13
0.1332000000000001,2.112225925743406e-13
0.1368000000000001,2.114157188122322e-13
0.1404000000000001,2.116118105638248e-13
0.144,2.118124303440947e-13
0.1476,2.120188979838058e-13
0.1512,2.122323401741585e-13
0.1548,2.124537298347982e-13
0.1584,2.126839191398939e-13
0.162,2.129236621526271e-13
0.1656,2.131736470086025e-13
0.1692,2.134345065086323e-13
0.1728,2.137068394932713e-13
0.1764,2.139912241566307e-13
0.18,2.142882298871906e-13
0.1836,2.14598427023047e-13
0.1871999999999999,2.149223950520189e-13
0.1907999999999999,2.15260729275907e-13
0.1943999999999999,2.156140466767217e-13
0.1979999999999999,2.159829912282802e-13
0.2015999999999999,2.163682383011457e-13
0.2051999999999999,2.167704988812953e-13
0.2087999999999999,2.171905237873115e-13
0.2123999999999999,2.176291078367643e-13
0.2159999999999999,2.180870940565884e-13
0.2195999999999999,2.185653779750509e-13
0.2231999999999999,2.190649119362196e-13
0.2267999999999999,2.195867095445923e-13
0.2303999999999999,2.201318502204156e-13
0.2339999999999998,2.207014837940828e-13
0.2375999999999998,2.21296835239432e-13
0.2411999999999998,2.219192095768104e-13
0.2447999999999998,2.225699967236243e-13
0.2483999999999998,2.232506765870025e-13
0.2519999999999998,2.239628242321582e-13
0.2555999999999998,2.247081150710267e-13
0.2591999999999998,2.254883302026211e-13
0.2627999999999998,2.263053617636662e-13
0.2663999999999998,2.271612184942895e-13
0.2699999999999998,2.280580345269443e-13
0.2735999999999998,2.289980716879714e-13
0.2771999999999998,2.299837231698023e-13
0.2807999999999998,2.310175209582507e-13
0.2843999999999998,2.321021413038707e-13
0.2879999999999998,2.332404099341337e-13
0.2915999999999997,2.344353069781217e-13
0.2951999999999997,2.356899712987266e-13
0.2987999999999997,2.37007706102313e-13
0.3023999999999997,2.383919739457177e-13
0.3059999999999997,2.398463798197606e-13
0.3095999999999997,2.413747115785928e-13
0.3131999999999997,2.429809150474998e-13
0.3167999999999997,2.446690854852606e-13
0.3203999999999997,2.464434568763579e-13
0.3239999999999997,2.483083879506685e-13
0.3275999999999997,2.502683255892388e-13
0.3311999999999997,2.523278247008862e-13
0.3347999999999997,2.544915527472873e-13
0.3383999999999996,2.567642939552801e-13
0.3419999999999996,2.59150942938818e-13
0.3455999999999996,2.616565314800506e-13
0.3491999999999996,2.64286261868122e-13
0.3527999999999996,2.670455402556394e-13
0.3563999999999996,2.699400499248664e-13
0.3599999999999996,2.729757242054585e-13
0.3635999999999996,2.761587456633984e-13
0.3671999999999996,2.79495666061815e-13
0.3707999999999996,2.8299340605994e-13
0.3743999999999996,2.866592885618078e-13
0.3779999999999996,2.905010748352205e-13
0.3815999999999996,2.945270006143144e-13
0.3851999999999995,2.987458118107619e-13
0.3887999999999995,3.031667990231033e-13
0.3923999999999995,3.077998299741706e-13
0.3959999999999995,3.126553806149864e-13
0.3995999999999995,3.177445642553236e-13
0.4031999999999995,3.230791595074378e-13
0.4067999999999995,3.286716366809779e-13
0.4103999999999995,3.345351831893795e-13
0.4139999999999995,3.406837274443485e-13
0.4175999999999995,3.471319604457952e-13
0.4211999999999995,3.538953548298615e-13
0.4247999999999995,3.609901797688573e-13
0.4283999999999994,3.684335099573574e-13
0.4319999999999994,3.762432271040342e-13
0.4355999999999994,3.844380106243136e-13
0.4391999999999994,3.930373144978773e-13
0.4427999999999994,4.020613265435089e-13
0.4463999999999994,4.115309050532175e-13
0.4499999999999994,4.214674870316794e-13
0.4535999999999994,4.3189296258956e-13
0.4571999999999994,4.42829507318536e-13
0.4607999999999994,4.542993657013416e-13
0.4643999999999994,4.663245775774994e-13
0.4679999999999994,4.789266396986582e-13
0.4715999999999994,4.921260956002988e-13
0.4751999999999993,5.059420472935198e-13
0.4787999999999993,5.203915860748644e-13
0.4823999999999993,5.354891394170703e-13
0.4859999999999993,5.512457359493372e-13
0.4895999999999993,5.676681905533689e-13
0.4931999999999993,5.847582134854084e-13
0.4967999999999993,6.025114480906415e-13
0.5003999999999993,6.209164364035101e-13
0.5039999999999993,6.399535396932798e-13
0.5075999999999994,6.595939329867567e-13
0.5111999999999994,6.797979655506998e-13
0.5147999999999995,7.005139292221582e-13
0.5183999999999995,7.216766318054831e-13
0.5219999999999996,7.432060433688805e-13
0.5255999999999996,7.650059784316202e-13
0.5291999999999997,7.86962892408151e-13
0.5327999999999997,8.08945221557459e-13
0.5363999999999998,8.308029033830677e-13
