/I4/D X,/I4/D Y
0,1.295910140706115e-11
0.01,1.295974050645437e-11
0.02,1.296037573213065e-11
0.03,1.296101094800048e-11
0.04,1.296164615452849e-11
0.05,1.296228135152715e-11
0.06,1.296291653909814e-11
0.07000000000000001,1.296355171715001e-11
0.08,1.296418688589862e-11
0.09,1.296482204511084e-11
0.09999999999999999,1.296545719485687e-11
0.11,1.29660923352594e-11
0.12,1.296672746602663e-11
0.13,1.296736258752199e-11
0.14,1.296799769953314e-11
0.15,1.296863280221075e-11
0.16,1.296926789542965e-11
0.17,1.296990297930401e-11
0.18,1.297053805367687e-11
0.19,1.29711731185495e-11
0.2,1.297180817401237e-11
0.21,1.297244322020309e-11
0.2200000000000001,1.297307825696828e-11
0.2300000000000001,1.297371328417727e-11
0.2400000000000001,1.297434830214456e-11
0.2500000000000001,1.297498331068869e-11
0.2600000000000001,1.297561830985309e-11
0.2700000000000001,1.297625329970475e-11
0.2800000000000001,1.297688828002131e-11
0.2900000000000001,1.297752325114998e-11
0.3000000000000001,1.297815821274924e-11
0.3100000000000001,1.297879316506061e-11
0.3200000000000001,1.297942810806876e-11
0.3300000000000001,1.298006304154424e-11
0.3400000000000001,1.29806979658142e-11
0.3500000000000001,1.298133288065915e-11
0.3600000000000002,1.298196778610275e-11
0.3700000000000002,1.29826026822823e-11
0.3800000000000002,1.298323756915918e-11
0.3900000000000002,1.298387244659933e-11
0.4000000000000002,1.298450731481634e-11
0.4100000000000002,1.298514217351071e-11
0.4200000000000002,1.298577702305254e-11
0.4300000000000002,1.298641186319809e-11
0.4400000000000002,1.298704669411144e-11
0.4500000000000002,1.298768151558377e-11
0.4600000000000002,1.298831632777468e-11
0.4700000000000003,1.298895113076224e-11
0.4800000000000003,1.298958592444406e-11
0.4900000000000003,1.299022070867411e-11
0.5000000000000002,1.29908554837267e-11
0.5100000000000002,1.299149024944933e-11
0.5200000000000002,1.299212500595288e-11
0.5300000000000002,1.29927597530352e-11
0.5400000000000003,1.299339449099598e-11
0.5500000000000003,1.299402921945622e-11
0.5600000000000003,1.299466393881301e-11
0.5700000000000003,1.299529864873076e-11
0.5800000000000003,1.299593334967824e-11
0.5900000000000003,1.299656804118466e-11
0.6000000000000003,1.299720272339968e-11
0.6100000000000003,1.299783739643299e-11
0.6200000000000003,1.299847206009526e-11
0.6300000000000003,1.299910671456941e-11
0.6400000000000003,1.299974135983881e-11
0.6500000000000004,1.300037599599474e-11
0.6600000000000004,1.300101062275632e-11
0.6700000000000004,1.300164524014651e-11
0.6800000000000004,1.300227984855149e-11
0.6900000000000004,1.300291444764894e-11
0.7000000000000004,1.300354903752816e-11
0.7100000000000004,1.300418361820792e-11
0.7200000000000004,1.300481818977129e-11
0.7300000000000004,1.300545275174779e-11
0.7400000000000004,1.300608730487935e-11
0.7500000000000004,1.300672184865955e-11
0.7600000000000005,1.300735638324397e-11
0.7700000000000005,1.300799090871396e-11
0.7800000000000005,1.300862542494347e-11
0.7900000000000005,1.30092599319076e-11
0.8000000000000005,1.300989442973241e-11
0.8100000000000005,1.301052891850477e-11
0.8200000000000005,1.301116339795176e-11
0.8300000000000005,1.301179786829483e-11
0.8400000000000005,1.301243232944362e-11
0.8500000000000005,1.301306678142929e-11
0.8600000000000005,1.301370122429759e-11
0.8700000000000006,1.301433565797642e-11
0.8800000000000006,1.301497008236922e-11
0.8900000000000006,1.301560449773015e-11
0.9000000000000006,1.301623890403893e-11
0.9100000000000006,1.301687330109779e-11
0.9200000000000006,1.301750768895412e-11
0.9300000000000006,1.301814206778911e-11
0.9400000000000006,1.301877643751291e-11
0.9500000000000006,1.301941079799831e-11
0.9600000000000006,1.302004514946355e-11
0.9700000000000006,1.302067949174889e-11
0.9800000000000006,1.302131382491071e-11
0.9900000000000007,1.302194814889985e-11
1.000000000000001,1.302258246385739e-11
1.010000000000001,1.302321676981235e-11
1.020000000000001,1.302385106654177e-11
1.030000000000001,1.302448535410882e-11
1.040000000000001,1.302511963271569e-11
1.050000000000001,1.302575390212265e-11
1.060000000000001,1.30263881626392e-11
1.070000000000001,1.302702241390584e-11
1.080000000000001,1.30276566560789e-11
1.090000000000001,1.302829088915431e-11
1.100000000000001,1.302892511315921e-11
1.110000000000001,1.302955932822353e-11
1.120000000000001,1.303019353406469e-11
1.130000000000001,1.303082773108779e-11
1.140000000000001,1.303146191894451e-11
1.150000000000001,1.303209609751659e-11
1.160000000000001,1.303273026726867e-11
1.170000000000001,1.30333644278938e-11
1.180000000000001,1.303399857948868e-11
1.190000000000001,1.303463272219926e-11
1.200000000000001,1.303526685567574e-11
1.210000000000001,1.303590098029173e-11
1.220000000000001,1.303653509562835e-11
1.230000000000001,1.303716920217565e-11
1.240000000000001,1.303780329956673e-11
1.250000000000001,1.303843738806797e-11
1.260000000000001,1.303907146757383e-11
1.270000000000001,1.303970553795936e-11
1.280000000000001,1.304033959945615e-11
1.290000000000001,1.304097365173606e-11
1.300000000000001,1.304160769523799e-11
1.310000000000001,1.304224172947519e-11
1.320000000000001,1.30428757551344e-11
1.330000000000001,1.304350977143282e-11
1.340000000000001,1.304414377895396e-11
1.350000000000001,1.304477777740185e-11
1.360000000000001,1.30454117670367e-11
1.370000000000001,1.304604574755298e-11
1.380000000000001,1.304667971906352e-11
1.390000000000001,1.30473136818711e-11
1.400000000000001,1.304794763544897e-11
1.410000000000001,1.304858158018241e-11
1.420000000000001,1.30492155159045e-11
1.430000000000001,1.304984944269407e-11
1.440000000000001,1.305048336050107e-11
1.450000000000001,1.3051117269501e-11
1.460000000000001,1.305175116954379e-11
1.470000000000001,1.305238506064463e-11
1.480000000000001,1.305301894267553e-11
1.490000000000001,1.305365281602224e-11
1.500000000000001,1.305428668034039e-11
1.510000000000001,1.305492053551116e-11
1.520000000000001,1.305555438214032e-11
1.530000000000001,1.305618821957534e-11
1.540000000000001,1.305682204817774e-11
1.550000000000001,1.3057455867981e-11
1.560000000000001,1.305808967871325e-11
1.570000000000001,1.305872348071568e-11
1.580000000000001,1.305935727387729e-11
